term;explanation;source
aaazz;перевод;user
architecture;архитектура, зодчество;db
beautiful;красивый, привлекательный, прекрасный;db
beer;пиво, напиток;db
borscht;борщ, суп из свёклы;db
brand;бренд, марка, торговая марка;db
capital;столица, главный город;db
car;автомобиль, машина;db
castle;замок, крепость;db
cheese;сыр, молочный продукт;db
contrast;контраст, различие, отличие;db
country;страна, государство, Родина;db
cuisine;кухня, кулинария;db
culture;культура, традиции, обычаи;db
education;образование, обучение;db
engineering;инженерия, техника, машиностроение;db
experience;опыт, переживание, знание;db
famous;известный, знаменитый, прославленный;db
forest;лес, древесный массив;db
history;история, прошлое, летопись;db
hospitality;гостеприимство, радушие, дружелюбие;db
innovation;инновация, новшество;db
lake;озеро, водоём;db
landmark;достопримечательность, памятник, ориентирант;db
modern;современный, актуальный, новейший;db
mountains;горы, возвышенности;db
museum;музей, выставочный центр, галерея;db
nature;природа, окружающая среда;db
pelmeni;пельмени, мясные клёцки;db
sausage;сосиска, колбаса;db
tradition;традиция, обычай, ритуал;db
traditional;традиционный, обычный;db
travel;путешествие, поездка, туризм;db
unforgettable;незабываемый, памятный, уникальный;db
university;университет, высшее учебное заведение;db
wine;вино, напиток;db
Тестовое слово на английском;Тестовый перевод на русский, второй вариант перевода;user
